时间	设备名称	片上时间()	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(?t)	磁场Y(?t)	磁场Z(?t)	温度(℃)	电量()	信号()	版本号()
15:48:20.511	WT5500002992(2).wplay	2024-10-8 15:13:36.115	0.010															
15:48:20.515	WT5500002992(2).wplay	2024-10-8 15:13:36.193	0.009	0.997	-0.043	0.000	0.000	0.000	92.510	-0.604	147.870	80.469	-57.617	131.738	39.4	3.67	-71	13011
15:48:20.517	WT5500002992(2).wplay	2024-10-8 15:13:36.215	0.012	0.004	1.004	0.000	0.000	0.000	0.176	-0.472	135.478	93.262	-95.312	-27.441	39.4	3.72	-59	13011
15:48:20.525	WT5500002992(2).wplay	2024-10-8 15:13:36.293	0.009	0.998	-0.043	0.000	0.000	0.000	92.510	-0.604	147.876	80.371	-57.422	132.324	39.4	3.67	-71	13011
15:48:20.526	WT5500002992(2).wplay	2024-10-8 15:13:36.315	0.011	0.003	1.005	0.000	0.000	0.000	0.176	-0.472	135.478	93.359	-95.312	-27.441	39.4	3.72	-59	13011
15:48:20.544	WT5500002992(2).wplay	2024-10-8 15:13:36.393	0.008	0.997	-0.044	0.000	0.000	0.000	92.510	-0.604	147.881	80.371	-57.715	131.738	39.3	3.67	-71	13011
15:48:20.545	WT5500002992(2).wplay	2024-10-8 15:13:36.415	0.010	0.002	1.005	0.000	0.000	0.000	0.176	-0.472	135.478	93.457	-95.215	-27.539	39.4	3.72	-59	13011
15:48:20.546	WT5500002992(2).wplay	2024-10-8 15:13:36.493	0.008	0.999	-0.043	0.000	0.000	0.000	92.510	-0.604	147.881	80.469	-57.812	131.641	39.4	3.67	-71	13011
15:48:20.547	WT5500002992(2).wplay	2024-10-8 15:13:36.515	0.011	0.003	1.006	0.000	0.000	0.000	0.176	-0.472	135.478	93.457	-95.410	-27.441	39.4	3.72	-59	13011
15:48:20.558	WT5500002992(2).wplay	2024-10-8 15:13:36.615	0.010	0.998	-0.043	0.000	0.000	0.000	92.510	-0.604	147.876	80.273	-57.812	131.641	39.4	3.67	-71	13011
15:48:20.575	WT5500002992(2).wplay	2024-10-8 15:13:36.715	0.010	0.998	-0.043	0.000	0.000	0.000	92.505	-0.604	147.876	80.273	-57.715	131.543	39.4	3.67	-71	13011
15:48:20.577	WT5500002992(2).wplay	2024-10-8 15:13:36.793	0.009	0.998	-0.043	0.000	0.000	0.000	92.505	-0.604	147.876	80.371	-57.422	131.836	39.4	3.67	-71	13011
15:48:20.578	WT5500002992(2).wplay	2024-10-8 15:13:36.815	0.011	0.003	1.006	0.000	0.000	0.000	0.176	-0.472	135.478	93.262	-95.312	-27.539	39.4	3.72	-60	13011
15:48:20.589	WT5500002992(2).wplay	2024-10-8 15:13:36.915	0.011	0.998	-0.043	0.000	0.000	0.000	92.505	-0.604	147.881	80.566	-57.422	132.129	39.4	3.67	-71	13011
15:48:20.603	WT5500002992(2).wplay	2024-10-8 15:13:37.15	0.011	0.998	-0.043	0.000	0.000	0.000	92.505	-0.604	147.881	80.371	-57.715	131.543	39.4	3.67	-71	13011
15:48:20.604	WT5500002992(2).wplay	2024-10-8 15:13:37.93	0.009	0.997	-0.043	0.000	0.000	0.000	92.505	-0.604	147.876	80.469	-57.715	131.738	39.4	3.67	-72	13011
15:48:20.606	WT5500002992(2).wplay	2024-10-8 15:13:37.115	0.011	0.003	1.006	0.000	0.000	0.000	0.176	-0.467	135.478	93.457	-95.312	-27.637	39.4	3.72	-60	13011
15:48:20.627	WT5500002992(2).wplay	2024-10-8 15:13:37.193	0.008	0.998	-0.043	0.000	0.000	0.000	92.499	-0.604	147.876	80.371	-57.812	131.738	39.4	3.67	-72	13011
15:48:20.627	WT5500002992(2).wplay	2024-10-8 15:13:37.215	0.010	0.003	1.005	0.000	0.000	0.000	0.176	-0.467	135.478	93.359	-95.312	-27.441	39.4	3.72	-60	13011
15:48:20.629	WT5500002992(2).wplay	2024-10-8 15:13:37.293	0.009	0.998	-0.044	0.000	0.000	0.000	92.499	-0.604	147.876	80.371	-57.910	131.641	39.3	3.67	-72	13011
15:48:20.631	WT5500002992(2).wplay	2024-10-8 15:13:37.315	0.011	0.003	1.005	0.000	0.000	0.000	0.176	-0.467	135.483	93.359	-95.312	-27.344	39.4	3.72	-60	13011
15:48:20.642	WT5500002992(2).wplay	2024-10-8 15:13:37.415	0.011	0.998	-0.043	0.000	0.000	0.000	92.499	-0.604	147.876	80.371	-57.715	131.543	39.4	3.67	-72	13011
15:48:20.654	WT5500002992(2).wplay	2024-10-8 15:13:37.493	0.007	0.998	-0.043	0.000	0.000	0.000	92.499	-0.604	147.876	80.371	-58.105	132.031	39.4	3.67	-72	13011
15:48:20.655	WT5500002992(2).wplay	2024-10-8 15:13:37.593	0.008	0.004	1.006	0.000	0.000	0.000	0.176	-0.467	135.483	93.457	-95.312	-27.539	39.4	3.72	-60	13011
