PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2025-08-06 14:31:25.911	3	9.581	39.520	45.214	14.4043	13.4888	6.2866	0	0	0	0
2025-08-06 14:31:26.090	3	10.907	40.118	44.460	3.9063	0.1221	14.5264	0	0	0	0
2025-08-06 14:31:26.397	3	11.635	39.377	45.058	-4.7607	-10.6812	19.1650	0	0	0	0
2025-08-06 14:31:26.521	3	13.494	38.636	45.266	-5.4932	-8.1787	14.2822	0	0	0	0
2025-08-06 14:31:26.644	3	15.626	38.051	45.071	2.8687	-5.9814	7.6904	0	0	0	0
2025-08-06 14:31:26.827	3	17.628	37.700	44.772	10.0708	5.0659	16.7236	0	0	0	0
2025-08-06 14:31:26.948	3	19.903	37.310	44.252	7.2021	-2.0752	31.4331	0	0	0	0
2025-08-06 14:31:27.009	3	21.515	37.232	43.641	13.1836	-1.7090	49.9268	0	0	0	0
2025-08-06 14:31:27.070	3	23.491	36.400	43.498	8.4229	-9.1553	22.5830	0	0	0	0
2025-08-06 14:31:27.130	3	25.077	36.101	42.939	5.5542	-10.6201	23.9258	0	0	0	0
2025-08-06 14:31:27.191	3	26.871	35.321	42.679	15.1367	39.6118	47.7295	0	0	0	0
2025-08-06 14:31:27.252	3	28.457	33.891	43.017	-26.3062	-18.7378	50.4150	0	0	0	0
2025-08-06 14:31:27.313	3	29.705	32.266	43.485	2.5635	5.6763	2.9297	0	0	0	0
2025-08-06 14:31:27.452	3	31.330	29.848	44.473	-13.0615	11.8408	33.3862	0	0	0	0
2025-08-06 14:31:27.513	3	32.916	27.391	45.448	-0.1831	29.1138	82.3364	0	0	0	0
2025-08-06 14:31:27.573	3	33.579	25.311	46.280	-6.8970	2.6245	-1.5259	0	0	0	0
2025-08-06 14:31:27.634	3	34.489	23.829	46.852	-32.0435	19.0430	119.2017	0	0	0	0
2025-08-06 14:31:27.695	3	36.348	19.175	48.035	6.8359	38.8184	13.7939	0	0	0	0
2025-08-06 14:31:27.755	3	36.634	17.797	48.607	0.9766	22.7661	44.1284	0	0	0	0
2025-08-06 14:31:27.816	3	37.245	15.197	49.400	-11.6577	9.0332	28.5645	0	0	0	0
2025-08-06 14:31:27.877	3	37.011	13.000	50.531	-24.9634	4.6387	42.3584	0	0	0	0
2025-08-06 14:31:27.938	3	37.778	9.360	51.233	-3.5400	41.7480	48.2178	0	0	0	0
2025-08-06 14:31:27.999	3	37.596	6.643	52.117	-6.7139	35.9497	34.1187	0	0	0	0
2025-08-06 14:31:28.740	3	33.241	-11.739	56.342	-3.0518	7.3242	26.1230	0	0	0	0
2025-08-06 14:31:28.800	3	31.343	-17.199	56.745	-9.2163	-5.9814	23.0713	0	0	0	0
2025-08-06 14:31:29.060	3	30.446	-18.616	56.407	-2.3193	2.7466	1.3428	0	0	0	0
2025-08-06 14:31:29.120	3	28.886	-19.942	56.212	-0.8545	4.5776	12.0850	0	0	0	0
2025-08-06 14:31:29.301	3	27.274	-22.672	55.731	-15.3809	3.3569	6.9580	0	0	0	0
